SemSearch_ES-1	44 magnum hunting
SemSearch_ES-73	rowan university
SemSearch_ES-74	sacred heart u
SemSearch_ES-75	sagemont church houston tx
SemSearch_ES-76	san antonio
SemSearch_ES-77	savannah tech
SemSearch_ES-78	sharp pc
SemSearch_ES-79	shobana masala
SemSearch_ES-80	sonny and cher
SemSearch_ES-81	south dakota state university
SemSearch_ES-82	st lucia
SemSearch_ES-83	st paul saints
SemSearch_ES-84	the dish danielle fishel
SemSearch_ES-85	the longest yard sale
SemSearch_ES-86	the morning call lehigh valley pa
SemSearch_ES-87	the quick lift
SemSearch_ES-88	thomas jefferson
SemSearch_ES-89	university of north dakota
SemSearch_ES-90	university of phoenix
SemSearch_ES-91	westminster abbey
SemSearch_ES-92	willow ridge
SemSearch_ES-93	08 toyota tundra
SemSearch_ES-94	Hugh Downs
SemSearch_ES-95	MADRID
SemSearch_ES-96	New England Coffee
SemSearch_ES-97	PINK PANTHER 2
SemSearch_ES-98	University of Texas at Austin
SemSearch_ES-99	University of York
SemSearch_ES-100	YMCA Tampa
SemSearch_ES-101	ashley wagner
SemSearch_ES-102	beach flowers
SemSearch_ES-103	bounce city humble tx
SemSearch_ES-104	bourbonnais il
SemSearch_ES-105	cedar garden apartments
SemSearch_ES-106	chase masterson
SemSearch_ES-107	concord steel
SemSearch_ES-108	danielia cotton
SemSearch_ES-109	david hewlett
SemSearch_ES-110	dr dan martin
SemSearch_ES-111	eagle rock, ca
SemSearch_ES-112	espresso tv stands
SemSearch_ES-113	geneva construction
SemSearch_ES-114	glenn frey
SemSearch_ES-115	goodwill of michigan
SemSearch_ES-116	hockessin library
SemSearch_ES-117	holland bakery jakarta
SemSearch_ES-118	iowa energy
SemSearch_ES-119	john elliott
SemSearch_ES-120	lawrence general hospital
SemSearch_ES-121	marie kojzar
SemSearch_ES-122	metropark clothing
SemSearch_ES-123	michael zimmerman
SemSearch_ES-124	motorola bluetooth hs850
SemSearch_ES-125	nokia e73
SemSearch_ES-126	oakland flea market
SemSearch_ES-127	palm tungsten e2 handheld
SemSearch_ES-128	philadelphia neufchatel cheese
SemSearch_ES-129	pizza populous detroit mi
SemSearch_ES-130	plymouth police department
SemSearch_ES-131	scpa san diego
SemSearch_ES-132	sealy mattress co
SemSearch_ES-133	sedona hiking trails
SemSearch_ES-134	skye woods
SemSearch_ES-135	spring shoes canada
SemSearch_ES-136	sri lanka government gazette
SemSearch_ES-137	steak express
SemSearch_ES-138	syracuse spca
SemSearch_ES-139	the big texan steak house
SemSearch_ES-140	toledo bend realty
SemSearch_ES-141	ventura county court
SemSearch_ES-142	windsor hotel philadelphia
SemSearch_LS-1	Apollo astronauts who walked on the Moon
SemSearch_LS-2	Arab states of the Persian Gulf
SemSearch_LS-3	astronauts who landed on the Moon
SemSearch_LS-4	Axis powers of World War II
SemSearch_LS-5	books of the Jewish canon
SemSearch_LS-6	boroughs of New York City
SemSearch_LS-7	Branches of the US military
SemSearch_LS-8	continents in the world
SemSearch_LS-9	degrees of Eastern Orthodox monasticism
SemSearch_LS-10	did nicole kidman have any siblings
SemSearch_LS-11	dioceses of the church of ireland
SemSearch_LS-12	first targets of the atomic bomb
SemSearch_LS-13	five great epics of Tamil literature
SemSearch_LS-14	gods who dwelt on Mount Olympus
SemSearch_LS-15	henry ii's brothers and sisters
SemSearch_LS-16	hijackers in the September 11 attacks
SemSearch_LS-17	houses of the Russian parliament
SemSearch_LS-18	john lennon, parents
SemSearch_LS-19	kenya's captain in cricket
SemSearch_LS-20	kublai khan siblings
SemSearch_LS-21	lilly allen parents
SemSearch_LS-22	major leagues in the united states
SemSearch_LS-23	manfred von richthofen parents
SemSearch_LS-24	matt berry tv series
SemSearch_LS-25	members of u2?
SemSearch_LS-26	movies starring erykah badu
SemSearch_LS-27	movies starring joe frazier
SemSearch_LS-28	movies starring rafael rosell
SemSearch_LS-29	nations where Portuguese is an official language
SemSearch_LS-30	orders (or 'choirs') of angels
SemSearch_LS-31	permanent members of the UN Security Council
SemSearch_LS-32	presidents depicted on mount rushmore who died of shooting
SemSearch_LS-33	provinces and territories of Canada
SemSearch_LS-34	ratt albums
SemSearch_LS-35	republics of the former Yugoslavia
SemSearch_LS-36	revolutionaries of 1959 in Cuba
SemSearch_LS-37	standard axioms of set theory
SemSearch_LS-38	states that border oklahoma
SemSearch_LS-39	ten ancient Greek city-kingdoms of Cyprus
SemSearch_LS-40	the first 13 american states
SemSearch_LS-41	the four of the companions of the prophet
SemSearch_LS-42	twelve tribes or sons of Israel
SemSearch_LS-43	what books did paul of tarsus write?
SemSearch_LS-44	what languages do they speak in afghanistan
SemSearch_LS-45	what tv shows has thomas jane been in
SemSearch_LS-46	where the British monarch is also head of state
SemSearch_LS-47	who created stumbleupon
SemSearch_LS-48	who has jackie weaver been married to
SemSearch_LS-49	who invented the python programming language
SemSearch_LS-50	wonders of the ancient world
